gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	countryCode	stateProvince	county	municipality	locality	verbatimLocality	verbatimElevation	verticalDatum	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks	datasetKey	publishingCountry	lastInterpreted	elevation	elevationAccuracy	depth	depthAccuracy	distanceAboveSurface	distanceAboveSurfaceAccuracy	distanceFromCentroidInMeters	issue	mediaType	hasCoordinate	hasGeospatialIssues	taxonKey	acceptedTaxonKey	kingdomKey	phylumKey	classKey	orderKey	familyKey	genusKey	subgenusKey	speciesKey	species	acceptedScientificName	verbatimScientificName	typifiedName	protocol	lastParsed	lastCrawled	repatriated	relativeOrganismQuantity	level0Gid	level0Name	level1Gid	level1Name	level2Gid	level2Name	level3Gid	level3Name	iucnRedListCategory	eventType
4005780476																										KJ950613										CC_BY_4_0						https://www.ebi.ac.uk/ena/browser/view/KJ950613																					PRESERVED_SPECIMEN				KJ950613	MAR															PRESENT					https://www.ebi.ac.uk/ena/browser/api/embl/KJ950613			Cherax tenuimanus voucher MAR glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds.																													OCEANIA				AU				Margaret River, WA																																																				ASV:de512aea61834fad6e6d96fb9c309ad0							https://www.ebi.ac.uk/ena/browser/view/Taxon:99755	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES				ACCEPTED			d8cd16ba-bb74-4420-821e-083f2bac17c2	GB	2023-01-14T12:29:19.445Z								CONTINENT_DERIVED_FROM_COUNTRY		false	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		EML	2023-01-14T12:29:19.445Z	2023-01-14T12:06:21.337Z	true										CR	
3901990318																										c60b8d92-b7df-4162-89f9-8b2710119ed0										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	c60b8d92-b7df-4162-89f9-8b2710119ed0	C127		Lipfert, O.H.		1											PRESENT							4131-11												1911-03-02T00:00:00				1911	3	2		Freshwater										OCEANIA				AU	Western Australia												-33.9	115.1	10000.0																																		TYPE	Austin, C.M.		2000-01-01T00:00:00											https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:41:39.264Z								CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:41:39.264Z	2023-01-08T06:32:12.837Z	false		AUS	Australia	AUS.11_1	Western Australia	AUS.11.4_1	Augusta-Margaret River			CR	
3901989369																										5a0aafb8-8752-482b-91e5-15442b6bd8a3										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	5a0aafb8-8752-482b-91e5-15442b6bd8a3	C6492		Clark, E.		1											PRESENT							29-50												1950-03-01T00:00:00				1950	3			Freshwater										OCEANIA				AU	Western Australia												-32.0	115.9	10000.0																																																https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:40:24.475Z								CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:40:24.475Z	2023-01-08T06:32:12.837Z	false		AUS	Australia	AUS.11_1	Western Australia	AUS.11.122_1	Victoria Park			CR	
3901988381																										b809ec82-6115-41de-b694-78ce3e3af7cf										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	b809ec82-6115-41de-b694-78ce3e3af7cf	C6486		Clark, E.		1											PRESENT							23-50												1950-03-01T00:00:00				1950	3			Freshwater										OCEANIA				AU	Western Australia												-32.0	115.9	10000.0																																																https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:41:38.188Z								CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:41:38.188Z	2023-01-08T06:32:12.837Z	false		AUS	Australia	AUS.11_1	Western Australia	AUS.11.122_1	Victoria Park			CR	
3901986293																										b6b79daa-090a-4a04-a843-aad218120542										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	b6b79daa-090a-4a04-a843-aad218120542	C50360		Shoobridge, F.		2											PRESENT																			1964-06-01T00:00:00				1964	6			Freshwater										OCEANIA				AU	Western Australia												-34.5	116.0	10000.0																																			Austin, C.M.													https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:40:42.654Z								CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:40:42.654Z	2023-01-08T06:32:12.837Z	false		AUS	Australia	AUS.11_1	Western Australia	AUS.11.74_1	Manjimup			CR	
3901986008																										b298346d-46eb-4ffa-9a50-c64cda77a4d7										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	b298346d-46eb-4ffa-9a50-c64cda77a4d7	C11624		Vollprecht, K.		3											PRESENT							32-74												1954-02-15T00:00:00				1954	2	15		Freshwater										OCEANIA				AU	Western Australia												-31.6	115.6	10000.0																																			Woods, P.S.													https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:41:34.774Z								CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:41:34.774Z	2023-01-08T06:32:12.837Z	false										CR	
3901983826																										42eda6aa-f857-491c-b006-9ab4aef67611										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	42eda6aa-f857-491c-b006-9ab4aef67611	C50411		Spence, T.		1											PRESENT																			1969-01-29T00:00:00				1969	1	29		Freshwater										OCEANIA				AU	Western Australia												-32.8	115.7	10000.0																																																https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:40:18.716Z								CONTINENT_DERIVED_FROM_COORDINATES;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:40:18.716Z	2023-01-08T06:32:12.837Z	false		AUS	Australia	AUS.11_1	Western Australia	AUS.11.128_1	Waroona			CR	
3901983615																										3fb86c9d-6a7a-426e-a47b-9ef3e63be227										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	3fb86c9d-6a7a-426e-a47b-9ef3e63be227	C201		Shenton, C.E.		1			FEMALE								PRESENT							4543-11												1911-09-12T00:00:00				1911	9	12		Freshwater										OCEANIA				AU	Western Australia												-32.8	115.7	10000.0																																																https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:40:17.740Z								CONTINENT_DERIVED_FROM_COORDINATES;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		true	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:40:17.740Z	2023-01-08T06:32:12.837Z	false		AUS	Australia	AUS.11_1	Western Australia	AUS.11.128_1	Waroona			CR	
3901983305																										3b076efa-c08e-420f-bd5b-fef72759242b										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN			{theatened_status: Critically Endangered, tribe:  }	3b076efa-c08e-420f-bd5b-fef72759242b	C37197		Bird, C.		1			MALE								PRESENT																											Freshwater	hide sample									OCEANIA				AU					PFWRF																																																										https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:40:15.848Z								CONTINENT_DERIVED_FROM_COUNTRY;RECORDED_DATE_INVALID;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		false	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:40:15.848Z	2023-01-08T06:32:12.837Z	false										CR	
3901981853																										d044eaa7-86d4-4491-afd0-78e59a6973a5										CC_BY_4_0																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN			{theatened_status: Critically Endangered, tribe:  }	d044eaa7-86d4-4491-afd0-78e59a6973a5	C461				5											PRESENT							8776-14												1914-02-24T00:00:00				1914	2	24		Freshwater										OCEANIA				AU																																																															https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus Smith, 1912								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax	Cherax			tenuimanus			SPECIES		Margaret River Hairy Marron		ACCEPTED			7c93d290-6c8b-11de-8226-b8a03c50a862	AU	2023-01-13T09:40:48.252Z								CONTINENT_DERIVED_FROM_COUNTRY;COLLECTION_MATCH_NONE;INSTITUTION_MATCH_FUZZY		false	false	4648604	4648604	1	54	229	637	8670	4417557		4648604	Cherax tenuimanus	Cherax tenuimanus Smith, 1912	Cherax tenuimanus		DWC_ARCHIVE	2023-01-13T09:40:48.252Z	2023-01-08T06:32:12.837Z	false										CR	
