gbifID	abstract	accessRights	accrualMethod	accrualPeriodicity	accrualPolicy	alternative	audience	available	bibliographicCitation	conformsTo	contributor	coverage	created	creator	date	dateAccepted	dateCopyrighted	dateSubmitted	description	educationLevel	extent	format	hasFormat	hasPart	hasVersion	identifier	instructionalMethod	isFormatOf	isPartOf	isReferencedBy	isReplacedBy	isRequiredBy	isVersionOf	issued	language	license	mediator	medium	modified	provenance	publisher	references	relation	replaces	requires	rights	rightsHolder	source	spatial	subject	tableOfContents	temporal	title	type	valid	institutionID	collectionID	datasetID	institutionCode	collectionCode	datasetName	ownerInstitutionCode	basisOfRecord	informationWithheld	dataGeneralizations	dynamicProperties	occurrenceID	catalogNumber	recordNumber	recordedBy	recordedByID	individualCount	organismQuantity	organismQuantityType	sex	lifeStage	reproductiveCondition	behavior	establishmentMeans	degreeOfEstablishment	pathway	georeferenceVerificationStatus	occurrenceStatus	preparations	disposition	associatedMedia	associatedOccurrences	associatedReferences	associatedSequences	associatedTaxa	otherCatalogNumbers	occurrenceRemarks	organismID	organismName	organismScope	associatedOrganisms	previousIdentifications	organismRemarks	materialSampleID	eventID	parentEventID	fieldNumber	eventDate	eventTime	startDayOfYear	endDayOfYear	year	month	day	verbatimEventDate	habitat	samplingProtocol	sampleSizeValue	sampleSizeUnit	samplingEffort	fieldNotes	eventRemarks	locationID	higherGeographyID	higherGeography	continent	waterBody	islandGroup	island	country	countryCode	stateProvince	county	municipality	locality	verbatimLocality	minimumElevationInMeters	maximumElevationInMeters	verbatimElevation	verticalDatum	minimumDepthInMeters	maximumDepthInMeters	verbatimDepth	minimumDistanceAboveSurfaceInMeters	maximumDistanceAboveSurfaceInMeters	locationAccordingTo	locationRemarks	decimalLatitude	decimalLongitude	geodeticDatum	coordinateUncertaintyInMeters	coordinatePrecision	pointRadiusSpatialFit	verbatimCoordinates	verbatimLatitude	verbatimLongitude	verbatimCoordinateSystem	verbatimSRS	footprintWKT	footprintSRS	footprintSpatialFit	georeferencedBy	georeferencedDate	georeferenceProtocol	georeferenceSources	georeferenceRemarks	geologicalContextID	earliestEonOrLowestEonothem	latestEonOrHighestEonothem	earliestEraOrLowestErathem	latestEraOrHighestErathem	earliestPeriodOrLowestSystem	latestPeriodOrHighestSystem	earliestEpochOrLowestSeries	latestEpochOrHighestSeries	earliestAgeOrLowestStage	latestAgeOrHighestStage	lowestBiostratigraphicZone	highestBiostratigraphicZone	lithostratigraphicTerms	group	formation	member	bed	identificationID	verbatimIdentification	identificationQualifier	typeStatus	identifiedBy	identifiedByID	dateIdentified	identificationReferences	identificationVerificationStatus	identificationRemarks	taxonID	scientificNameID	acceptedNameUsageID	parentNameUsageID	originalNameUsageID	nameAccordingToID	namePublishedInID	taxonConceptID	scientificName	acceptedNameUsage	parentNameUsage	originalNameUsage	nameAccordingTo	namePublishedIn	namePublishedInYear	higherClassification	kingdom	phylum	class	order	family	subfamily	genus	genericName	subgenus	infragenericEpithet	specificEpithet	infraspecificEpithet	cultivarEpithet	taxonRank	verbatimTaxonRank	scientificNameAuthorship	vernacularName	nomenclaturalCode	taxonomicStatus	nomenclaturalStatus	taxonRemarks
4005780476																										KJ950613																https://www.ebi.ac.uk/ena/browser/view/KJ950613																					PreservedSpecimen				KJ950613	MAR																					https://www.ebi.ac.uk/ena/browser/api/embl/KJ950613			Cherax tenuimanus voucher MAR glyceraldehyde-3-phosphate dehydrogenase (GAPDH) gene, partial cds.																																	Australia					Margaret River, WA																																																												ASV:de512aea61834fad6e6d96fb9c309ad0							https://www.ebi.ac.uk/ena/browser/view/Taxon:99755	Cherax tenuimanus								Metazoa	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax														
3901990318																										c60b8d92-b7df-4162-89f9-8b2710119ed0										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	c60b8d92-b7df-4162-89f9-8b2710119ed0	C127		Lipfert, O.H.		1											PRESENT								4131-11												2/3/1911				1911	3	2		Freshwater														Australia	AU	Western Australia																-33.9	115.1	EPSG:4326	10000.0																																					TYPE	Austin, C.M.		2000-01-01											https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901989369																										5a0aafb8-8752-482b-91e5-15442b6bd8a3										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	5a0aafb8-8752-482b-91e5-15442b6bd8a3	C6492		Clark, E.		1											PRESENT								29-50												1/3/1950				1950	3			Freshwater														Australia	AU	Western Australia																-32.0	115.9	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901988381																										b809ec82-6115-41de-b694-78ce3e3af7cf										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	b809ec82-6115-41de-b694-78ce3e3af7cf	C6486		Clark, E.		1											PRESENT								23-50												1/3/1950				1950	3			Freshwater														Australia	AU	Western Australia																-32.0	115.9	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901986293																										b6b79daa-090a-4a04-a843-aad218120542										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	b6b79daa-090a-4a04-a843-aad218120542	C50360		Shoobridge, F.		2											PRESENT																				1/6/1964				1964	6			Freshwater														Australia	AU	Western Australia																-34.5	116.0	EPSG:4326	10000.0																																						Austin, C.M.													https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901986008																										b298346d-46eb-4ffa-9a50-c64cda77a4d7										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	b298346d-46eb-4ffa-9a50-c64cda77a4d7	C11624		Vollprecht, K.		3											PRESENT								32-74												15/2/1954				1954	2	15		Freshwater														Australia	AU	Western Australia																-31.6	115.6	EPSG:4326	10000.0																																						Woods, P.S.													https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901983826																										42eda6aa-f857-491c-b006-9ab4aef67611										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	42eda6aa-f857-491c-b006-9ab4aef67611	C50411		Spence, T.		1											PRESENT																				29/1/1969				1969	1	29		Freshwater														Australia	AU	Western Australia																-32.8	115.7	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901983615																										3fb86c9d-6a7a-426e-a47b-9ef3e63be227										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN		Record is Western Australia in Sensitive. Generalised to 10km by WA DEC.	{theatened_status: Critically Endangered, tribe:  }	3fb86c9d-6a7a-426e-a47b-9ef3e63be227	C201		Shenton, C.E.		1			FEMALE								PRESENT								4543-11												12/9/1911				1911	9	12		Freshwater														Australia	AU	Western Australia																-32.8	115.7	EPSG:4326	10000.0																																																			https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901983305																										3b076efa-c08e-420f-bd5b-fef72759242b										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN			{theatened_status: Critically Endangered, tribe:  }	3b076efa-c08e-420f-bd5b-fef72759242b	C37197		Bird, C.		1			MALE								PRESENT																				6/1/2006								Freshwater	hide sample													Australia	AU					PFWRF																																																																		https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
3901981853																										d044eaa7-86d4-4491-afd0-78e59a6973a5										UNSPECIFIED																		PhysicalObject					WAM	CRUST			PRESERVED_SPECIMEN			{theatened_status: Critically Endangered, tribe:  }	d044eaa7-86d4-4491-afd0-78e59a6973a5	C461				5											PRESENT								8776-14												24/2/1914				1914	2	24		Freshwater														Australia	AU																																																																							https://biodiversity.org.au/afd/taxa/c10b9392-526f-4188-a379-7dce29a8da67	Cherax tenuimanus								Animalia	Arthropoda	Malacostraca	Decapoda	Parastacidae		Cherax				tenuimanus			species		(Smith, 1912)	Margaret River Hairy Marron				
