species,event_date,lat,lon,coordinate_uncertainty_in_meters
Cherax tenuimanus,1911-03-02T00:00:00Z,-33.9,115.1,10000
Cherax tenuimanus,1950-03-01T00:00:00Z,-32,115.9,10000
Cherax tenuimanus,1964-06-01T00:00:00Z,-34.5,116,10000
Cherax tenuimanus,1954-02-15T00:00:00Z,-31.6,115.6,10000
Cherax tenuimanus,1969-01-29T00:00:00Z,-32.8,115.7,10000
Cherax tenuimanus,1911-09-12T00:00:00Z,-32.8,115.7,10000
Cherax tenuimanus,1936-11-19T00:00:00Z,-33.9,115.1,10000
Cherax tenuimanus,1962-12-27T00:00:00Z,-33.8,116,10000
Cherax tenuimanus,1947-05-01T00:00:00Z,-35,117.4,10000
Cherax tenuimanus,1911-09-21T00:00:00Z,-32.8,115.7,10000
Cherax tenuimanus,1990-03-05T00:00:00Z,-34.9,118.2,10000
Cherax tenuimanus,1981-05-17T00:00:00Z,-34.4,115.7,10000
Cherax tenuimanus,1936-12-02T00:00:00Z,-34.4,116.1,10000
Cherax tenuimanus,1911-12-14T00:00:00Z,-34.4,116.3,10000
Cherax tenuimanus,1982-08-13T00:00:00Z,-34.9,116.5,10000
Cherax tenuimanus,1970-01-01T00:00:00Z,-31.9,116,10000
Cherax tenuimanus,1979-08-30T00:00:00Z,-33.9,115.1,10000
Cherax tenuimanus,1977-03-14T00:00:00Z,-34.7,116.8,10000
Cherax tenuimanus,1936-12-02T00:00:00Z,-33.7,115.6,10000
Cherax tenuimanus,1977-06-17T00:00:00Z,-31.5,115.7,10000
Cherax tenuimanus,1982-02-17T00:00:00Z,-35,117.4,10000
Cherax tenuimanus,1982-03-07T00:00:00Z,-34.5,115.7,10000
Cherax tenuimanus,1970-01-08T00:00:00Z,-35,116.8,10000
Cherax tenuimanus,1979-09-18T00:00:00Z,-34.9,116.5,10000
Cherax tenuimanus,1965-09-01T00:00:00Z,-14.75,135.3833,NA
Cherax tenuimanus,1918-08-08T00:00:00Z,-34,117.6,10000
Cherax tenuimanus,1969-02-22T00:00:00Z,-33.9,115.1,10000
Cherax tenuimanus,1937-05-31T00:00:00Z,-34.4,116,10000
Cherax tenuimanus,1929-03-01T00:00:00Z,-35,116.8,10000
Cherax tenuimanus,1937-12-09T00:00:00Z,-34,117.1,10000
Cherax tenuimanus,1938-01-24T00:00:00Z,-34.4,116,10000
Cherax tenuimanus,1961-11-01T00:00:00Z,-33.4,115.7,10000
Cherax tenuimanus,1950-08-23T00:00:00Z,-32,115.7,10000
Cherax tenuimanus,1965-01-01T00:00:00Z,-32,115.9,10000
Cherax tenuimanus,NA,-33.7,117.6,10000
Cherax tenuimanus,1982-02-18T00:00:00Z,-34.9,116.5,10000
Cherax tenuimanus,1969-02-19T00:00:00Z,-34.5,116,10000
Cherax tenuimanus,1964-06-01T00:00:00Z,-35,117.8667,NA
Cherax tenuimanus,1961-01-05T00:00:00Z,-34.4,115.8,10000
Cherax tenuimanus,1929-01-15T00:00:00Z,-34.4,117.1,10000
Cherax tenuimanus,1911-10-03T00:00:00Z,-32.8,115.7,10000
Cherax tenuimanus,1964-03-21T00:00:00Z,-32,115.9,10000
Cherax tenuimanus,1981-05-24T00:00:00Z,-35,117.9,10000
Cherax tenuimanus,1981-12-02T00:00:00Z,-34.1,115.4,10000
Cherax tenuimanus,1911-06-30T00:00:00Z,-33.8,115.9,10000
Cherax tenuimanus,1982-03-27T00:00:00Z,-33.4,116.1,10000
Cherax tenuimanus,NA,-33.4,118,10000
Cherax tenuimanus,1981-01-05T00:00:00Z,-35,116.8,10000
Cherax tenuimanus,1981-09-26T00:00:00Z,-34.3,115.3,10000
Cherax tenuimanus,1928-02-13T00:00:00Z,-34.5,116.1,10000
Cherax tenuimanus,1947-06-23T00:00:00Z,-32.1,116,10000
Cherax tenuimanus,1929-07-01T00:00:00Z,-34,117.6,10000
Cherax tenuimanus,1968-11-21T00:00:00Z,-34.6,115.9,10000
Cherax tenuimanus,1982-02-19T00:00:00Z,-34.5,116,10000
Cherax tenuimanus,1959-10-03T00:00:00Z,-34.9,116.4,10000
Cherax tenuimanus,1966-05-27T00:00:00Z,-31.9,116.1,10000
Cherax tenuimanus,1915-04-19T00:00:00Z,-33.9,115.1,10000
Cherax tenuimanus,1981-10-23T00:00:00Z,-31.9,115.8,10000
Cherax tenuimanus,1977-01-01T00:00:00Z,-35,117,10000
Cherax tenuimanus,1982-02-19T00:00:00Z,-34.6,115.9,10000
Cherax tenuimanus,1962-04-24T00:00:00Z,-34.3,115.2,10000
Cherax tenuimanus,1961-08-01T00:00:00Z,-34.3,115.2,10000
Cherax tenuimanus,1944-01-24T00:00:00Z,-34.4333,116.05,NA
Cherax tenuimanus,1969-02-14T00:00:00Z,-33.3,116.7,10000
Cherax tenuimanus,1932-03-03T00:00:00Z,-35,116.9,10000
Cherax tenuimanus,1937-11-29T00:00:00Z,-34,117.1,10000
Cherax tenuimanus,1951-06-20T00:00:00Z,-33.7,115.3,10000
Cherax tenuimanus,1952-10-22T00:00:00Z,-34.6,117.7,10000
Cherax tenuimanus,1981-12-03T00:00:00Z,-34.3,115.4,10000
Cherax tenuimanus,1986-01-01T00:00:00Z,-32,115.9,10000
Cherax tenuimanus,1921-01-05T00:00:00Z,-34.3,115.2,10000
Cherax tenuimanus,NA,-34.5,116.1,10000
Cherax tenuimanus,NA,-35.602958,138.242567,NA
Cherax tenuimanus,NA,-34.840219,138.825128,NA
Cherax tenuimanus,NA,-35.768592,136.972592,NA
Cherax tenuimanus,NA,-35.738961,136.802622,NA
Cherax tenuimanus,NA,-35.794183,136.587958,NA
Cherax tenuimanus,NA,-35.522822,138.597444,NA
Cherax tenuimanus,2001-10-23T00:00:00Z,-38.2783,145.099,NA
Cherax tenuimanus,1989-02-01T00:00:00Z,-30.93,30.27,NA
Cherax tenuimanus,1936-01-01T00:00:00Z,-34,115.1,10000
Cherax tenuimanus,1971-02-25T00:00:00Z,-34.6,115.8,10000
Cherax tenuimanus,1968-01-05T00:00:00Z,-32.6,115.8,10000
Cherax tenuimanus,1936-01-01T00:00:00Z,-33.9,115.1,10000
Cherax tenuimanus,NA,-33.1,115.9,10000
Cherax tenuimanus,NA,-32.1,115.7,10000
Cherax tenuimanus,NA,-34.5,116.2,10000
Cherax tenuimanus,1958-11-13T00:00:00Z,-34.4,115.9,10000
Cherax tenuimanus,1958-11-18T00:00:00Z,-34.9,118.1,10000
Cherax tenuimanus,NA,-33.4,115.9,10000
Cherax tenuimanus,NA,-34.3,117,10000
Cherax tenuimanus,1912-11-28T00:00:00Z,-35,117.4,10000
Cherax tenuimanus,1912-11-29T00:00:00Z,-16.9,128.2,10000
Cherax tenuimanus,NA,-34.4,116.3,10000
Cherax tenuimanus,NA,-33.4,116,10000
Cherax tenuimanus,NA,-27.233333,152.416667,NA
Anguilla rostrata,2014-08-01T03:30:00Z,19.3462,-81.3918,100
Anguilla rostrata,1976-09-18T00:00:00Z,31.258056,-87.976389,NA
Anguilla rostrata,1985-11-05T00:00:00Z,32.591944,-86.242778,NA
Anguilla rostrata,1987-10-19T00:00:00Z,32.596667,-86.246389,NA
Anguilla rostrata,1987-10-19T00:00:00Z,32.584444,-86.239444,NA
Anguilla rostrata,1984-12-11T00:00:00Z,32.579167,-86.235833,NA
Anguilla rostrata,1983-07-25T00:00:00Z,32.61429,-86.25416,NA
Anguilla rostrata,1986-06-29T00:00:00Z,33.228056,-86.226389,NA
Anguilla rostrata,1984-06-14T00:00:00Z,32.582778,-86.238333,NA
Anguilla rostrata,1983-02-18T00:00:00Z,32.578611,-86.235278,NA
Anguilla rostrata,1983-04-28T00:00:00Z,32.582222,-86.238333,NA
Anguilla rostrata,1958-06-16T00:00:00Z,30.330556,-86.165,NA
Anguilla rostrata,1965-07-21T00:00:00Z,30.682778,-89.208611,NA
